FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class
15,2015-03-02,v1.1,4428,GTO,CCAFS SLC 40,False Ocean,1,False,False,False,Ocean,1.1,14,B1016,-80.6,28.6,0
16,2015-04-14,v1.1,1898,ISS,CCAFS SLC 40,True Ocean,1,False,False,False,Ocean,1.1,15,B1018,-80.6,28.6,1
17,2015-04-27,v1.1,1952,GTO,CCAFS SLC 40,False Ocean,1,False,False,False,Ocean,1.1,16,B1019,-80.6,28.6,0
18,2015-06-28,v1.1,2395,LEO,CCAFS SLC 40,None None,1,False,False,False,,1.1,17,B1020,-80.6,28.6,0
19,2015-12-21,FT,11359,VLEO,CCAFS SLC 40,True ASDS,1,True,False,True,ASDS,2.0,18,B1021,-80.6,28.6,1
20,2016-01-17,FT,3600,GTO,VAFB SLC 4E,True ASDS,1,True,False,True,ASDS,2.0,19,B1022,-120.6,34.6,1
21,2016-02-28,FT,4707,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,RTLS1,2.0,20,B1023,-80.6,28.6,1
22,2016-03-04,FT,5271,GTO,CCAFS SLC 40,True RTLS,1,True,False,True,RTLS1,3.0,21,B1025,-80.6,28.6,1
23,2016-04-08,FT,3136,ISS,CCAFS SLC 40,True ASDS,1,True,False,True,ASDS,3.0,22,B1021,-80.6,28.6,1
24,2016-05-06,FT,4428,GTO,CCAFS SLC 40,True ASDS,1,True,False,True,ASDS,3.0,23,B1026,-80.6,28.6,1
25,2016-05-27,FT,4707,GTO,CCAFS SLC 40,False ASDS,1,True,False,True,ASDS,3.0,24,B1022,-80.6,28.6,0
26,2016-06-15,FT,5271,GTO,CCAFS SLC 40,True RTLS,1,True,False,True,RTLS1,3.0,25,B1028,-80.6,28.6,1
27,2016-07-18,FT,2257,GTO,CCAFS SLC 40,True ASDS,1,True,True,True,ASDS,3.0,26,B1030,-80.6,28.6,1
28,2016-08-14,FT,6761,GTO,CCAFS SLC 40,True ASDS,1,True,True,True,ASDS,3.0,27,B1031,-80.6,28.6,1
29,2016-09-01,FT,0,LEO,VAFB SLC 4E,None None,1,True,False,True,,3.0,28,B1032,-120.6,34.6,0
30,2017-01-14,FT,4600,GTO,VAFB SLC 4E,True RTLS,1,True,True,True,RTLS1,3.0,29,B1029,-120.6,34.6,1
31,2017-02-19,FT,5600,ISS,KSC LC 39A,True ASDS,2,True,True,True,ASDS,3.0,30,B1033,-80.6,28.6,1
32,2017-03-16,FT,5600,GTO,CCAFS SLC 40,True RTLS,1,True,True,True,RTLS1,3.0,31,B1034,-80.6,28.6,1
33,2017-03-30,FT,2708,GTO,KSC LC 39A,True RTLS,2,True,True,True,RTLS1,3.0,32,B1021,-80.6,28.6,1
34,2017-05-01,FT,5600,LEO,KSC LC 39A,True ASDS,2,True,False,True,ASDS,3.0,33,B1035,-80.6,28.6,1
35,2017-05-15,FT,4707,GTO,KSC LC 39A,True RTLS,2,True,True,True,RTLS1,3.0,34,B1036,-80.6,28.6,1
36,2017-05-25,FT,4696,GTO,KSC LC 39A,True RTLS,1,True,True,True,RTLS1,3.0,35,B1037,-80.6,28.6,1
37,2017-06-03,FT,3895,LEO,CCAFS SLC 40,True ASDS,1,True,True,True,ASDS,3.0,36,B1035,-80.6,28.6,1
38,2017-06-23,FT,2950,GTO,KSC LC 39A,True RTLS,2,True,True,True,RTLS1,3.0,37,B1038,-80.6,28.6,1
39,2017-06-25,FT,600,LEO,CCAFS SLC 40,True ASDS,1,True,True,True,ASDS,3.0,38,B1036,-80.6,28.6,1
40,2017-07-05,FT,600,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS,3.0,39,B1039,-80.6,28.6,1
41,2017-08-14,FT,4990,GTO,KSC LC 39A,True ASDS,1,True,True,True,ASDS,4.0,40,B1040,-80.6,28.6,1
42,2017-08-24,FT,6070,GTO,VAFB SLC 4E,True ASDS,1,True,True,True,ASDS,3.0,41,B1041,-120.6,34.6,1
43,2017-10-09,B4,4990,GTO,VAFB SLC 4E,True ASDS,2,True,True,True,ASDS,4.0,42,B1042,-120.6,34.6,1
44,2017-10-11,FT,5300,SSO,VAFB SLC 4E,True ASDS,2,True,True,True,ASDS,3.0,43,B1043,-120.6,34.6,1
45,2017-10-30,FT,4990,ISS,KSC LC 39A,True ASDS,2,True,True,True,ASDS,3.0,44,B1035,-80.6,28.6,1
46,2017-12-15,FT,10900,ISS,CCAFS SLC 40,True RTLS,2,True,True,True,RTLS1,4.0,45,B1035,-80.6,28.6,1
47,2018-01-08,FT,3000,GTO,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS,4.0,46,B1043,-80.6,28.6,1
48,2018-01-31,FT,4990,LEO,VAFB SLC 4E,True ASDS,3,True,True,True,ASDS,3.0,47,B1036,-120.6,34.6,1
49,2018-02-06,FT,1675,HEO,KSC LC 39A,None None,3,True,True,True,,5.0,48,B1044,-80.6,28.6,0
50,2018-03-06,FT,5300,ISS,CCAFS SLC 40,True ASDS,3,True,True,True,ASDS,4.0,49,B1040,-80.6,28.6,1
51,2018-03-30,B4,3000,GTO,VAFB SLC 4E,True RTLS,1,True,True,True,RTLS1,4.0,50,B1042,-120.6,34.6,1
52,2018-04-02,B4,2490,ISS,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS,4.0,51,B1031,-80.6,28.6,1
53,2018-04-18,FT,422,SSO,CCAFS SLC 40,True ASDS,3,True,True,True,ASDS,4.0,52,B1044,-80.6,28.6,1
54,2018-05-11,FT,3960,GTO,CCAFS SLC 40,True ASDS,3,True,True,True,ASDS,4.0,53,B1045,-80.6,28.6,1
55,2018-05-22,FT,5384,SSO,CCAFS SLC 40,True ASDS,1,True,True,True,ASDS,4.0,54,B1043,-80.6,28.6,1
56,2018-06-04,FT,10886,ISS,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS,4.0,55,B1035,-80.6,28.6,1
57,2018-07-22,FT,3600,GTO,CCAFS SLC 40,True ASDS,3,True,True,True,ASDS,4.0,56,B1046,-80.6,28.6,1
58,2018-08-07,FT,5800,GTO,CCAFS SLC 40,True ASDS,4,True,True,True,ASDS,4.0,57,B1047,-80.6,28.6,1
59,2018-09-10,B5,4425,SSO,VAFB SLC 4E,True ASDS,1,True,True,True,ASDS,5.0,58,B1048,-120.6,34.6,1
60,2018-10-08,B5,5383,GTO,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS,5.0,59,B1049,-80.6,28.6,1
61,2018-12-03,FT,3200,SSO,VAFB SLC 4E,True ASDS,3,True,True,True,ASDS,4.0,60,B1050,-120.6,34.6,1
62,2018-12-05,B5,4500,ISS,CCAFS SLC 40,True ASDS,4,True,True,True,ASDS,5.0,61,B1048,-80.6,28.6,1
63,2019-01-11,B5,1000,SSO,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS,5.0,62,B1049,-80.6,28.6,1
64,2019-02-22,B5,6092,GTO,CCAFS SLC 40,True ASDS,3,True,True,True,ASDS,5.0,63,B1051,-80.6,28.6,1
65,2019-03-02,B5,3000,LEO,KSC LC 39A,True ASDS,4,True,True,True,ASDS,5.0,64,B1052,-80.6,28.6,1
66,2019-03-22,B5,5000,GTO,CCAFS SLC 40,True ASDS,1,True,True,True,ASDS,5.0,65,B1053,-80.6,28.6,1
67,2019-04-11,B5,500,ISS,KSC LC 39A,True ASDS,5,True,True,True,ASDS,5.0,66,B1051,-80.6,28.6,1
68,2019-05-04,B5,13620,VLEO,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS,5.0,67,B1054,-80.6,28.6,1
69,2019-05-24,B5,60,MEO,CCAFS SLC 40,True ASDS,3,True,True,True,ASDS,5.0,68,B1049,-80.6,28.6,1
70,2019-06-12,B5,600,LEO,CCAFS SLC 40,True ASDS,4,True,True,True,ASDS,5.0,69,B1051,-80.6,28.6,1
71,2019-06-25,B5,2268,SSO,CCAFS SLC 40,True ASDS,5,True,True,True,ASDS,5.0,70,B1056,-80.6,28.6,1
72,2019-07-25,B5,600,LEO,CCAFS SLC 40,True ASDS,6,True,True,True,ASDS,5.0,71,B1051,-80.6,28.6,1
73,2019-08-06,B5,3000,GTO,KSC LC 39A,True ASDS,3,True,True,True,ASDS,5.0,72,B1053,-80.6,28.6,1
74,2019-08-19,B5,3100,LEO,CCAFS SLC 40,True ASDS,4,True,True,True,ASDS,5.0,73,B1055,-80.6,28.6,1
75,2019-09-26,B5,600,LEO,CCAFS SLC 40,True ASDS,5,True,True,True,ASDS,5.0,74,B1056,-80.6,28.6,1
76,2019-10-17,B5,6000,GTO,CCAFS SLC 40,True ASDS,6,True,True,True,ASDS,5.0,75,B1058,-80.6,28.6,1
77,2019-11-11,B5,60,VLEO,CCAFS SLC 40,True ASDS,2,True,True,True,ASDS,5.0,76,B1049,-80.6,28.6,1
78,2019-11-19,B5,3000,LEO,CCAFS SLC 40,True ASDS,5,True,True,True,ASDS,5.0,77,B1059,-80.6,28.6,1
79,2019-12-17,B5,600,SSO,CCAFS SLC 40,True RTLS,6,True,True,True,ASDS,5.0,78,B1060,-80.6,28.6,1
80,2020-01-07,B5,3000,VLEO,CCAFS SLC 40,True ASDS,3,True,True,True,RTLS1,5.0,79,B1051,-80.6,28.6,1
81,2020-01-19,B5,9600,MEO,CCAFS SLC 40,True ASDS,7,True,True,True,ASDS,5.0,80,B1058,-80.6,28.6,1
82,2020-01-29,B5,60,VLEO,CCAFS SLC 40,True ASDS,8,True,True,True,ASDS,5.0,81,B1059,-80.6,28.6,1
83,2020-02-17,B5,1977,ISS,CCAFS SLC 40,True ASDS,4,True,True,True,ASDS,5.0,82,B1051,-80.6,28.6,1
84,2020-03-07,B5,4311,ISS,CCAFS SLC 40,True ASDS,5,True,True,True,ASDS,5.0,83,B1060,-80.6,28.6,1
85,2020-03-18,B5,3681,GTO,CCAFS SLC 40,True ASDS,9,True,True,True,ASDS,5.0,84,B1061,-80.6,28.6,1
86,2020-04-22,B5,3500,VLEO,CCAFS SLC 40,True ASDS,10,True,True,True,ASDS,5.0,85,B1051,-80.6,28.6,1
87,2020-05-30,B5,12530,ISS,KSC LC 39A,True ASDS,11,True,True,True,ASDS,5.0,86,B1058,-80.6,28.6,1
88,2020-06-04,B5,60,VLEO,CCAFS SLC 40,True ASDS,6,True,True,True,ASDS,5.0,87,B1062,-80.6,28.6,1
89,2020-07-20,B5,5500,GTO,CCAFS SLC 40,True ASDS,12,True,True,True,ASDS,5.0,88,B1063,-80.6,28.6,1
90,2020-08-07,B5,3681,GTO,CCAFS SLC 40,True ASDS,13,True,True,True,ASDS,5.0,89,B1051,-80.6,28.6,1
